Compound	Zscore_P1_UDN418969 (Relative of UDN797885)	Zscore_P1_UDN050783 (Relative of UDN797885)	Zscore_P1_UDN853355	Zscore_P1_UDN865642	Zscore_P1_UDN678474 (Relative of UDN865642)	Zscore_P1_UDN933024 (Relative of UDN865642)	Zscore_P1_UDN869748	Zscore_P1_UDN916494	Zscore_P1_UDN336336	Zscore_P1_UDN372273	Zscore_P1_UDN711539 (Relative of UDN372273)	Zscore_P1_UDN526792	Zscore_P1_UDN538368	Zscore_P1_UDN107726 (Relative of UDN538368)	Zscore_P1_UDN583127	Zscore_P1_UDN627073	Zscore_P1_UDN481754 (Relative of UDN627073)	Zscore_P1_UDN683706	Zscore_P1_UDN710245	Zscore_P1_UDN948125 (Relative of UDN710245)	Zscore_P1_UDN073552 (Relative of UDN710245)	Zscore_P1_UDN744855	Zscore_P1_UDN755687	Zscore_P1_UDN896870	Zscore_P1_UDN830764 (Relative of UDN896870)	Zscore_P1_UDN050783 (Relative of UDN797885).1	Zscore_P1_UDN924574	Zscore_P1_UDN957763	Metacyc Object ID	Map to Homo sapiens	PubChem	CAS	ChEBI	DrugBank	HMDB	LIPID MAPS	Synonyms
2-KETOGLUTARATE	-1.679	-0.152	0.657	-1.2309999999999999	0.6459999999999999	-0.517	-0.07400000000000001	-0.532	-0.326	0.057	-0.192	-0.508	1.202	0.601	1.26	0.27699999999999997	-0.344	0.679	-0.377	-0.113	0.643	-0.9490000000000001	0.193	-1.0959999999999999	-0.037000000000000005	-0.597	-0.8320000000000001	0.078	2-KETOGLUTARATE	2-KETOGLUTARATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=164533'>164533</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=328-50-7'>328-50-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16810'>16810</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00208'>HMDB00208</a>		2-oxoglutarate // ketoglutarate // &alpha;-ketoglutarate // 2-oxoglutaric acid // &alpha;-ketoglutaric acid // &alpha;-oxoglutarate // 2-ketoglutaric acid // 2-ketoglutarate // 2-oxopentanedionic acid // 2-oxopentanedionate // a-ketoglutaric acid
2-Aminobutyrate	-0.18600000000000003	0.018000000000000002	-0.131	-0.767	0.098	-1.117	-0.231	-0.321	0.607	0.8740000000000001	0.39799999999999996	-0.245	0.629	0.23399999999999999	0.235	0.24100000000000002	-0.217	1.082	0.451	0.5660000000000001	0.6409999999999999	0.353	0.82	-0.165	0.55	0.325	0.073	0.426	2-Aminobutyrate	2-Aminobutyrate	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=517460'>517460</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=2835-81-6'>2835-81-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35621'>35621</a>				DL-a-amino-N-butyric acid // 2-aminobutyric acid // 2-amino-n-butyric Acid // butyrine // &alpha;-aminobutyric acid // D,L-&alpha;-amino-<i>N</i>-butyrate // 2-aminobutyrate
CO3	0.002	-0.314	1.192	1.5819999999999999	1.195	0.107	-0.009000000000000001	0.868	-1.239	-0.256	-0.733	1.6159999999999999	0.191	-1.07	-0.14	-0.07200000000000001	-0.981	1.181	-0.295	1.101	1.143	-1.7280000000000002	-2.052	-0.145	1.064	-0.179	-1.186	0.843	CO3								
CHOLESTEROL		-0.885	0.616	3.4730000000000003	2.885	1.474	1.661	3.7539999999999996	-3.9589999999999996	-0.51	0.48	-3.29		-3.236		-2.822	1.183	-3.9019999999999997	0.113	-0.20800000000000002	-2.2969999999999997	-0.34700000000000003	-0.647	-0.317	-1.661	-0.258		-0.6509999999999999	CHOLESTEROL	CHOLESTEROL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5997'>5997</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-88-5'>57-88-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16113'>16113</a>	<a href='http://www.drugbank.ca/drugs/DB04540'>DB04540</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00067'>HMDB00067</a>		5-cholestene-3&beta;-ol
CREATININE	-1.882	-0.8370000000000001	0.083	-0.8740000000000001	-0.066	-0.45899999999999996	0.542	0.489	-1.325	-0.095	-0.175	-0.36700000000000005	0.298	-0.925	-0.7340000000000001	-1.165	-0.363	0.4	-0.644	1.335	0.235	-1.34	-1.814	-1.536	0.7829999999999999	-0.775	-1.857	-1.0959999999999999	CREATININE	CREATININE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=588'>588</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=60-27-5'>60-27-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16737'>16737</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00562'>HMDB00562</a>		krebiozen // 2-imino-1-methyl-4-imidazolidinone // 1-methyl-2-amino-imidazol-4-one
CPD-108	1.364	1.42	1.1640000000000001	0.447	0.601	0.8340000000000001	1.386	0.9359999999999999	1.6780000000000002	0.953	0.9440000000000001	1.3880000000000001	0.6920000000000001	0.907	0.773	2.469	1.1909999999999998	1.2309999999999999	2.226	-0.128	1.33	2.253	0.9790000000000001	1.2919999999999998	0.7440000000000001	0.514	1.4509999999999998	1.359	CPD-108	CPD-108	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2879'>2879</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=106-44-5'>106-44-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17847'>17847</a>	<a href='http://www.drugbank.ca/drugs/DB01688'>DB01688</a>	<a href='http://www.hmdb.ca/metabolites/HMDB01858'>HMDB01858</a>		4-hydroxytoluene // p-hydroxytoluene // 4-cresol // <i>p</i>-cresol
2-AMINOACRYLATE	0.165	-1.3159999999999998	4.571000000000001	0.807	-0.1	-1.205	-0.395	-1.749	1.314	1.2229999999999999	0.713	-0.105	0.685	0.281	-1.35	1.395	1.6369999999999998	1.8030000000000002	1.247	1.402	1.114	0.9059999999999999	-0.254	0.358	0.9109999999999999	-0.045	1.8719999999999999	-0.321	2-AMINOACRYLATE	2-AMINOACRYLATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22022579'>22022579</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58020'>58020</a>		<a href='http://www.hmdb.ca/metabolites/HMDB03609'>HMDB03609</a>		2-aminoacrylate // &alpha;-aminoacrylate // 2-aminoacrylic acid // 2,3-didehydroalanine // &alpha;,&beta;-dehydroalanine // anhydroserine 2-aminopropenoic acid // dehydroalanine
D-Glucose	0.07200000000000001	1.829	1.4769999999999999	1.696	1.4369999999999998	0.447	2.395	1.022	-0.292	-0.11900000000000001	-0.061	0.955	-0.8220000000000001	-1.1	-0.11800000000000001	0.27899999999999997	0.046	1.252	0.07200000000000001	-0.027999999999999997	0.615	-0.5539999999999999	0.278	0.56	0.242	-0.29600000000000004	-0.042	0.107	D-Glucose	D-Glucose			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17634'>17634</a>				D-gluco-hexose
dihydroxymalonic acid	3.0589999999999997	4.9910000000000005			2.272	3.975		4.77	0.509	0.35200000000000004	0.175	0.075	0.16699999999999998	0.14	-0.317	1.12	0.222	0.542	0.43	-0.198			0.14	0.647	-0.24100000000000002	0.868	-0.603	0.125									
LYXOSE	-1.192	-0.5760000000000001	-1.008	-2.056	-1.892	-1.069	-0.7140000000000001	-0.529	-0.6859999999999999	-0.235	-0.20199999999999999	-0.44799999999999995	-0.44799999999999995	-0.078	-0.275	-0.6629999999999999	-0.665	0.573	-0.545	-0.18	0.217	-0.21100000000000002	-0.348	-0.72	-0.29100000000000004	-0.361	0.045	0.036000000000000004	LYXOSE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=65550'>65550</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=65-42-9'>65-42-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16789'>16789</a>				
CPD-660	0.7509999999999999	0.43700000000000006	-0.098	0.298	0.301	-0.39899999999999997	1.054	0.7979999999999999	-0.37799999999999995	-0.095	-0.418	0.011000000000000001	-0.21100000000000002	-0.21600000000000003	0.953	-0.521	0.071	-0.35600000000000004	-0.539	-0.305	-0.617	-1.147	-0.084	-0.7559999999999999	0.415	-0.907	-0.24100000000000002	0.245	CPD-660	CPD-660	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5459794'>5459794</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=636-61-3'>636-61-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15588'>15588</a>		<a href='http://www.hmdb.ca/metabolites/HMDB31518'>HMDB31518</a>		D-malate // D-malic acid // D-(+)-malic acid
MANNITOL	-2.057	-0.149	0.125	-2.03	1.237	0.076	1.423	-0.6970000000000001	-1.3940000000000001	-1.8219999999999998	0.358	4.736000000000001	0.387	0.299	0.295	-1.473	2.491	-1.4040000000000001	-1.669	0.359	-0.652	0.231	-1.358	-0.506	-1.4669999999999999	-0.27699999999999997	1.5330000000000001	-0.65	MANNITOL		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6251'>6251</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=69-65-8'>69-65-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16899'>16899</a>	<a href='http://www.drugbank.ca/drugs/DB00742'>DB00742</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00765'>HMDB00765</a>		D-mitobronitol
MANNOSE	0.5	0.083	0.35	0.09699999999999999	0.511	0.017	0.419	0.40700000000000003	-0.063	0.439	-0.071	-0.19	0.474	0.294	0.782	0.01	0.5329999999999999	-0.201	-0.10400000000000001	0.614	0.021	0.131	0.11699999999999999	-0.39	0.6	0.048	0.38299999999999995	0.593	MANNOSE	MANNOSE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=18950'>18950</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=3458-28-4'>3458-28-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16024'>16024</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00169'>HMDB00169</a>		
RIBOSE	7.568	7.952000000000001	7.287999999999999	6.547000000000001	6.057	7.188	8.613999999999999	6.9879999999999995	9.03	8.089	7.629	7.71	7.502000000000001	7.885	6.676	9.007	7.556	8.709	8.411	6.245	8.404	8.449	7.431	8.191	6.0329999999999995	7.324	8.258	7.495	RIBOSE	RIBOSE		<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=50-69-1'>50-69-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16988'>16988</a>				ribose
CPD-12825	-1.979	-1.402	-0.174	-2.266	-1.659	-1.6019999999999999	-0.008	-0.07400000000000001	-0.5489999999999999	0.1	-0.779	-0.945	-0.406	-1.253	0.725	-0.47600000000000003	-0.653	0.37799999999999995	-0.223	-0.544	-0.545	-0.804	-0.6509999999999999	-2.226	1.123	-1.052	-0.95	0.264	CPD-12825	CPD-12825	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=169019'>169019</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:48300'>48300</a>		<a href='http://www.hmdb.ca/metabolites/HMDB04136'>HMDB04136</a>		(2R,3R)-butane-1,2,3,4-tetrol // D-threo-tetritol
erythronic acid	0.062	0.01	-0.499	-1.07	0.97	-0.405	-0.011000000000000001	0.785	-0.371	0.08199999999999999	0.08199999999999999	0.6829999999999999	-0.595	-1.105	-0.048	0.057999999999999996	0.27	0.723	0.085	0.44799999999999995	-0.195	-1.104	0.2	-1.15	0.562	-0.154	-0.39799999999999996	-0.855									
FUM	4.109	6.403	6.412000000000001	6.405	3.772	4.726	8.756	6.45	8.845	7.053	7.465	8.289	5.999	7.593999999999999	5.54	9.849	6.867999999999999	9.515	9.046	5.926	9.06	9.051	8.603	8.218	5.1160000000000005	7.261	8.502	7.069	FUM	FUM	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460307'>5460307</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=110-17-8'>110-17-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29806'>29806</a>	<a href='http://www.drugbank.ca/drugs/DB01677'>DB01677</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00134'>HMDB00134</a>		fum // fumaric acid
gluconic acid	-0.106	0.384	0.415	0.174	-0.204	-0.626	-0.306	0.29100000000000004	-0.426	-0.479	-0.40399999999999997	-0.243	-0.618	-0.499	-0.027999999999999997	-0.298	0.136	-0.7859999999999999	-0.26899999999999996	-0.401	-0.402	-0.41600000000000004	-0.179	-0.415	-0.19	-0.087	-0.5329999999999999	-0.09699999999999999									
Glycerates	-1.776	-1.54	-0.961	-1.209	-1.284	-1.579	-1.4140000000000001	-1.442	-0.8440000000000001	-0.653	-1.0070000000000001	-1.587	-0.941	-1.084	-1.425	-0.861	-0.596	-0.583	-0.32	-0.9059999999999999	-0.428	-1.7930000000000001	-0.53	-0.006999999999999999	0.7829999999999999	0.21899999999999997	-0.705	-1.5390000000000001	Glycerates	Glycerates							glyceric acid
GLYCEROL	-0.155	-0.076	0.718	-0.01	0.141	0.355	0.264	0.769	-0.22399999999999998	0.9590000000000001	-0.018000000000000002	-6.3020000000000005	-0.02	0.5379999999999999	-0.017	0.444	0.061	0.617	0.725	0.068	0.42700000000000005	0.795	0.691	-6.752999999999999	0.442	0.175	0.273	-0.087	GLYCEROL	GLYCEROL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=753'>753</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-81-5'>56-81-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17754'>17754</a>	<a href='http://www.drugbank.ca/drugs/DB04077'>DB04077</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00131'>HMDB00131</a>		1,2,3-trihydroxypropane // glycerin // 1,2,3-trihydroxypropanol
GLYCOLLATE	-0.82	-0.474	-0.034	0.493	-1.075	-1.113	0.88	-0.391	-0.7440000000000001	0.447	-0.11699999999999999	-0.161	-0.527	-0.419	-0.33299999999999996	0.384	-0.5479999999999999	0.418	0.069	-0.74	-0.42200000000000004	-0.20600000000000002	0.79	-1.072	-0.45799999999999996	-0.789	-0.249	-0.5429999999999999	GLYCOLLATE	GLYCOLLATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460308'>5460308</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=79-14-1'>79-14-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29805'>29805</a>	<a href='http://www.drugbank.ca/drugs/DB03085'>DB03085</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00115'>HMDB00115</a>		hydroxyacetic acid // glycolic acid // glycollate
HYPOXANTHINE	-0.218	-0.316	-1.913	0.16699999999999998	-1.666	-1.037	-2.416	0.341	-0.401	-0.345	-0.451	0.23	0.501	-0.28800000000000003	-0.38	-0.611	-1.109	0.517	1.064	-0.49200000000000005	-0.011000000000000001	0.257	1.2229999999999999	-0.414	-0.45299999999999996	-0.546	0.884	0.162	HYPOXANTHINE	HYPOXANTHINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=790'>790</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=68-94-0'>68-94-0</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17368'>17368</a>	<a href='http://www.drugbank.ca/drugs/DB04076'>DB04076</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00157'>HMDB00157</a>		
Lactate	-0.28	-0.857	-0.805	-0.7929999999999999	0.287	-0.262	0.071	1.011	-0.313	0.20600000000000002	-0.573	0.325	0.18899999999999997	0.026000000000000002	0.34	0.242	-1.3969999999999998	0.627	-0.12300000000000001	-0.6609999999999999	-0.068	-0.711	1.247	-1.4669999999999999	-0.9470000000000001	-0.35200000000000004	-0.341	0.036000000000000004	Lactate	Lactate			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:24996'>24996</a>				lactic acid // DL lactate // (<i>RS</i>)-lactate // DL lactic acid // (<i>RS</i>)-lactic acid // 2-hydroxypropanoate // 2-hydroxypropanoic acid
L-ALPHA-ALANINE	-1.955	1.436	1.1079999999999999	-0.684	-0.289	-0.308	2.109	-0.28600000000000003	-0.09699999999999999	0.498	1.3259999999999998	-0.065	1.023	1.3940000000000001	0.207	0.13699999999999998	-0.8290000000000001	0.07400000000000001	-1.383	-0.01	0.40700000000000003	0.556	-0.08	-0.36700000000000005	-1.8559999999999999	-0.982	-0.031	1.291	L-ALPHA-ALANINE	L-ALPHA-ALANINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7311724'>7311724</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-41-7'>56-41-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57972'>57972</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00161'>HMDB00161</a>		alanine // L-&alpha;-alanine // ala
ASN	0.436	0.6559999999999999	0.539	-0.466	0.528	0.425	-0.096	0.172	-0.39299999999999996	0.612	0.488	-0.21	0.18	0.545	0.223	0.003	0.436	-0.19899999999999998	0.126	0.597	-0.14300000000000002	-0.927	0.19699999999999998	-0.43700000000000006	0.345	0.33399999999999996	-0.465	-0.6	ASN	ASN	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992089'>6992089</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=70-47-3'>70-47-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58048'>58048</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00168'>HMDB00168</a>		asparagine // &alpha;-aminosuccinamic acid // (-)-asparagine // (S)-2,4-diamino-4-oxobutanoic acid // (S)-asparagine // 2,4-diamino-4-oxobutanoic acid, (S)- // 2-aminosuccinamic acid, L- // agedoite // altheine // asparagine acid // aspartic acid &beta;-amide // butanoic acid, 2,4-diamino-4-oxo-, (S)- // L-2,4-diamino-4-oxobutanoic acid // L-asparatamine // L-&beta;-asparagine // asn // N // L-asn
