PNNL Metabolite Name (Urine & Plasma) 	Compound	Metacyc Object ID	Map to Homo sapiens	PubChem	CAS	ChEBI	DrugBank	HMDB	LIPID MAPS	Synonyms
3-hydroxypyridine	CPD-12318	CPD-12318		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7971'>7971</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:503883'>503883</a>				
D-lyxose	LYXOSE	LYXOSE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=65550'>65550</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=65-42-9'>65-42-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16789'>16789</a>				
3,4-dihydroxybutanoic acid*	CPD-16714	CPD-16714	CPD-16714	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22320917'>22320917</a>						2-deoxytetronic acid // butanoic acid
1-monostearin*	CPD-16717	CPD-16717								
3-hydroxybutyric acid	3-HYDROXY-BUTYRATE	3-HYDROXY-BUTYRATE	3-HYDROXY-BUTYRATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3541112'>3541112</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=300-85-6'>300-85-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37054'>37054</a>				&beta;-hydroxybutyrate // 3-hydroxybutyrate // &beta;-hydroxybutanoate
3-oxo-pentanedioic acid*	3-oxo-pentanedioic acid									
salicylic acid (also can be acetylsalicylic acid; aspirin)	CPD-110	CPD-110	CPD-110	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54675850'>54675850</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=69-72-7'>69-72-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30762'>30762</a>		<a href='http://www.hmdb.ca/metabolites/HMDB01895'>HMDB01895</a>		salicylic acid // o-hydroxybenzoic acid // 2-hydroxybenzoic acid // SA // 2-HBA // 2-hydroxybenzoate // o-hydroxybenzoate
D-malic acid	CPD-660	CPD-660	CPD-660	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5459794'>5459794</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=636-61-3'>636-61-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15588'>15588</a>		<a href='http://www.hmdb.ca/metabolites/HMDB31518'>HMDB31518</a>		D-malate // D-malic acid // D-(+)-malic acid
myristic acid	CPD-7836	CPD-7836	CPD-7836	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4075158'>4075158</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=544-63-8'>544-63-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30807'>30807</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00806'>HMDB00806</a>		myristic acid // tetradecanoate // tetradecanoic acid // tetradecoate // tetradecoic acid
nonanoic acid	CPD-8505	CPD-8505	CPD-8505	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5461016'>5461016</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32361'>32361</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00847'>HMDB00847</a>		pelargonic acid // n-nonanoate // n-nonanoic acid // nonylate // nonylic acid // nonoate // nonoic acid // pelargate // pelargic acid
1-monopalmitin*	CPD-8508	CPD-8508	CPD-8508	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3084463'>3084463</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75542'>75542</a>		<a href='http://www.hmdb.ca/metabolites/HMDB31074'>HMDB31074</a>		1-hexadecanoyl-sn-glycerol // glycerol palmitate // glyceryl monopalmitate // hexadecanoic acid, 2,3-bishydroxy propyl ester // 2,3-dihydroxypropyl hexadecanoate // 1-monopalmitin // &alpha;-monopalmitin // 1-monohexadecanoylglycerol // 2,3-dihydroxypropyl palmitate // glycerol 1-monohexadecanoate // palmitic acid &alpha;-monoglyceride
propylene glycol (possible contaminant)	DL-12-Propanediol	DL-12-Propanediol	DL-12-Propanediol							1,2-PDO // propylene glycol // 1,2-propanediol
D-mannitol	MANNITOL	MANNITOL		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6251'>6251</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=69-65-8'>69-65-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16899'>16899</a>	<a href='http://www.drugbank.ca/drugs/DB00742'>DB00742</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00765'>HMDB00765</a>		D-mitobronitol
2,5-hydroxypyrazine*	2,5-hydroxypyrazine									
creatinine	CREATININE	CREATININE	CREATININE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=588'>588</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=60-27-5'>60-27-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16737'>16737</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00562'>HMDB00562</a>		krebiozen // 2-imino-1-methyl-4-imidazolidinone // 1-methyl-2-amino-imidazol-4-one
L-cysteine	CYS	CYS	CYS	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6419722'>6419722</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=4371-52-2'>4371-52-2</a> // <a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=52-90-4'>52-90-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35235'>35235</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00574'>HMDB00574</a>		C // carbocysteine // cysteine // Cys // L-cys
L-cystine	CYSTINE	CYSTINE	CYSTINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992103'>6992103</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=24645-67-8'>24645-67-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35491'>35491</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00192'>HMDB00192</a>		
D-glucose	D-Glucose	D-Glucose	D-Glucose			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17634'>17634</a>				D-gluco-hexose
ribofuranose*	D-Ribofuranose	D-Ribofuranose	D-Ribofuranose			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:47013'>47013</a>				
1,3-dihydroxyacetone	DIHYDROXYACETONE	DIHYDROXYACETONE	DIHYDROXYACETONE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=670'>670</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=96-26-4'>96-26-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16016'>16016</a>	<a href='http://www.drugbank.ca/drugs/DB01775'>DB01775</a>	<a href='http://www.hmdb.ca/metabolites/HMDB01882'>HMDB01882</a>		glycerone // 1,3-dihydroxyacetone // dihydroxy-acetone
erythronic acid*	erythronic acid									
fumaric acid	FUM	FUM	FUM	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460307'>5460307</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=110-17-8'>110-17-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29806'>29806</a>	<a href='http://www.drugbank.ca/drugs/DB01677'>DB01677</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00134'>HMDB00134</a>		fum // fumaric acid
L-glutamine	GLN	GLN	GLN	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992086'>6992086</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-85-9'>56-85-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58359'>58359</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00641'>HMDB00641</a>		Q // proglumide // glum // gln // glutamine // glumin // 2-aminoglutaramic acid // glutamic acid 5-amide // L-gln
L-glutamic acid	GLT	GLT	GLT	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460299'>5460299</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-86-0'>56-86-0</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29985'>29985</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00148'>HMDB00148</a>		1-amino-propane-1,3-dicarboxylic acid // glutacid // glutaminic acid // L-glutamic acid // &alpha;-aminoglutaric acid // E // glt // glu // glut // L-glu // 2-aminopentanedioic acid
gluconic acid	gluconic acid									
glyceric acid	Glycerates	Glycerates	Glycerates							glyceric acid
glycerol	GLYCEROL	GLYCEROL	GLYCEROL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=753'>753</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-81-5'>56-81-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17754'>17754</a>	<a href='http://www.drugbank.ca/drugs/DB04077'>DB04077</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00131'>HMDB00131</a>		1,2,3-trihydroxypropane // glycerin // 1,2,3-trihydroxypropanol
glycolic acid	GLYCOLLATE	GLYCOLLATE	GLYCOLLATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460308'>5460308</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=79-14-1'>79-14-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29805'>29805</a>	<a href='http://www.drugbank.ca/drugs/DB03085'>DB03085</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00115'>HMDB00115</a>		hydroxyacetic acid // glycolic acid // glycollate
carbonate ion	carbonate ion									
hypoxanthine	HYPOXANTHINE	HYPOXANTHINE	HYPOXANTHINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=790'>790</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=68-94-0'>68-94-0</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17368'>17368</a>	<a href='http://www.drugbank.ca/drugs/DB04076'>DB04076</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00157'>HMDB00157</a>		
L-isoleucine	ILE	ILE	ILE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7043901'>7043901</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=73-32-5'>73-32-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58045'>58045</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00172'>HMDB00172</a>		I // ile // iso-leucine // L-ile
3-indolepropionic acid*	INDOLE-PROPIONATE	INDOLE-PROPIONATE	INDOLE-PROPIONATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3292996'>3292996</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:82916'>82916</a>				indole-propionate // 3-indolepropionic acid // indole-3-propionate // IPA // 3-(1H-indol-3-yl)propanoate // 3-(1H-indol-3-yl)propionate
L-alanine (interference)	L-ALPHA-ALANINE	L-ALPHA-ALANINE	L-ALPHA-ALANINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7311724'>7311724</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-41-7'>56-41-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57972'>57972</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00161'>HMDB00161</a>		alanine // L-&alpha;-alanine // ala
L-aspartic acid	L-ASPARTATE	L-ASPARTATE	L-ASPARTATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460294'>5460294</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-84-8'>56-84-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29991'>29991</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00191'>HMDB00191</a>		L-aspartic acid // aspartic acid // D // aspartate // asp // L-asp
L-ornithine (possibly from L-arginine)	L-ORNITHINE	L-ORNITHINE	L-ORNITHINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992088'>6992088</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:46911'>46911</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00214'>HMDB00214</a>		Ornithine // 2, 5-diaminovaleric acid // 2, 5-diaminopentanoic acid // 2, 5-diaminopentanoate // &alpha;,&delta;-diaminovaleric acid
L-threonic acid*	L-THREONATE	L-THREONATE	L-THREONATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=21145021'>21145021</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=7306-96-9'>7306-96-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57561'>57561</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00943'>HMDB00943</a>		threonate // threonic acid
lactic acid	Lactate	Lactate	Lactate			<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:24996'>24996</a>				lactic acid // DL lactate // (<i>RS</i>)-lactate // DL lactic acid // (<i>RS</i>)-lactic acid // 2-hydroxypropanoate // 2-hydroxypropanoic acid
L-leucine	LEU	LEU	LEU	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7045798'>7045798</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=61-90-5'>61-90-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57427'>57427</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00687'>HMDB00687</a>		(2S)-&alpha;-2-amino-4-methylvaleric acid // L // leu // leucine // 2-amino-4-methylvaleric acid // (2S)-&alpha;-leucine // L-leu
levoglucosan*	CPD-12923	CPD-12923		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2724705'>2724705</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=498-07-7'>498-07-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30997'>30997</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00640'>HMDB00640</a>		1,6-Anhydro-beta-D-glucose // 1,6-Anhydro-beta-glucopyranose // Leucoglucosan // 1,6-anhydro-&beta;-D-glucopyranose
L-lysine (interference)	LYS	LYS	LYS	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460926'>5460926</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-87-1'>56-87-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32551'>32551</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00182'>HMDB00182</a>		K // lysine // L-lys // lys // 2,6-diaminohexanoic acid // lysine acid
dihydroxymalonic acid*	dihydroxymalonic acid									
maltose	MALTOSE	MALTOSE	MALTOSE		<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=69-79-4'>69-79-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17306'>17306</a>				&alpha;-D-glucopyranose-(1&rarr;4)-D-glucopyranose // maltose
D-mannose	MANNOSE	MANNOSE	MANNOSE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=18950'>18950</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=3458-28-4'>3458-28-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16024'>16024</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00169'>HMDB00169</a>		
L-methionine	MET	MET	MET	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992087'>6992087</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=63-68-3'>63-68-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57844'>57844</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00696'>HMDB00696</a>		M // met // methionine // L-met
N-formylglycine*	N-formylglycine									
6-hydroxy-alpha-methylnaphthaleneacetic acid*	6-hydroxy-alpha-methylnaphthaleneacetic acid									
oleic acid	OLEATE-CPD	OLEATE-CPD	OLEATE-CPD	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460221'>5460221</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=112-80-1'>112-80-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30823'>30823</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00207'>HMDB00207</a>		oleic acid // (9Z)-octadec-9-enoate // (9Z)-octadecenoate // (9Z)-octadecenoic acid // (9Z)-octadec-9-enoic acid // (Z)-octadec-9-enoic acid // 18:1 n-9 // 18:1&Delta;9cis // C18:1 n-9 // cis-9-octadecenoic acid // cis-&Delta;<sup>9</sup>-octadecenoic acid // cis-oleic acid // octadec-9-enoic acid // octadecenoate (n-C18:1) // 9-octadecenoic acid
oxalic acid	OXALATE	OXALATE	OXALATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71081'>71081</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=144-62-7'>144-62-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30623'>30623</a>	<a href='http://www.drugbank.ca/drugs/DB02737'>DB02737</a>	<a href='http://www.hmdb.ca/metabolites/HMDB02329'>HMDB02329</a>		oxalic acid // ethanedioic acid
palmitic acid	PALMITATE	PALMITATE	PALMITATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=504166'>504166</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-10-3'>57-10-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:7896'>7896</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00220'>HMDB00220</a>		hexadecanoate (n-C16:0) // palmitic acid // hexadecanoate // hexadecanoic acid
L-phenylalanine	PHE	PHE	PHE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6925665'>6925665</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=63-91-2'>63-91-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58095'>58095</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00159'>HMDB00159</a>		2S-&alpha;-phenylalanine // F // endophenyl // phenylalanine // phe // L-phe
phosphenodiimidic amide*	phosphenodiimidic amide									
O-phosphocolamine	O-phosphocolamine									
phosphate ion	Pi	Pi	Pi	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3681305'>3681305</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=14265-44-2'>14265-44-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:43474'>43474</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00973'>HMDB00973</a>		inorganic phosphate // phosphate-inorganic // Pi // orthophosphate // PO<SUB>4</SUB><SUP>3-</SUP> // HPO<SUB>4</SUB><SUP>2-</SUP> // HPO<SUB>4</SUB><SUP>-2</SUP>
porphine	porphine									
L-proline	PRO	PRO	PRO	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971047'>6971047</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=147-85-3'>147-85-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60039'>60039</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00162'>HMDB00162</a>		2-pyrrolidinecarboxylic acid // P // proline // prol // pro // L-pro
pyrimidine*	PYRIMIDINE-RING	PYRIMIDINE-RING	PYRIMIDINE-RING	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9260'>9260</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16898'>16898</a>		<a href='http://www.hmdb.ca/metabolites/HMDB03361'>HMDB03361</a>		1,3-diazin // m-diazine // metadiazine
pyruvic acid	PYRUVATE	PYRUVATE	PYRUVATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=107735'>107735</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=127-17-3'>127-17-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15361'>15361</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00243'>HMDB00243</a>		alpha-ketopropionic acid // BTS // &alpha;-ketopropionic acid // acetylformic acid // pyroracemic acid // 2-oxopropanoic acid // pyruvic acid // 2-oxopropanoate // 2-oxo-propionic acid
D-ribose	RIBOSE	RIBOSE	RIBOSE		<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=50-69-1'>50-69-1</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16988'>16988</a>				ribose
