NCBI	CommonName
10812.1	WNK2
5980.1	REV3L
10902.1	BRD8
10467.1	ZNHIT1
118980.1	SFXN2
4061.1	LY6E
84514.1	GHDC
11096.1	ADAMTS5
65110.1	UPF3A
51806.1	CALML5
51291.1	GMIP
10244.1	RABEPK
10720.1	UGT2B11
84173.1	ELMOD3
136853.1	SRCRB4D
27349.1	MCAT
163255.1	ZNF540
79885.1	HDAC11
4296.1	MAP3K11
5105.1	PCK1
11172.1	INSL6
92305.1	TMEM129
11278.1	KLF12
57369.1	GJD2
7699.1	ZNF140
54477.1	PLEKHA5
10152.1	ABI2
9144.1	SYNGR2
9261.1	MAPKAPK2
23432.1	GPR161
7204.1	TRIO
440.1	ASNS
10295.1	BCKDK
26266.1	SLC13A4
10755.1	GIPC1
7695.1	ZNF136
6908.1	TBP
57827.1	C6orf47
27283.1	TINAG
8976.1	WASL
284427.1	SLC25A41
57134.1	MAN1C1
2867.1	FFAR2
26869.1	RNU1C2
817.1	CAMK2D
54873.1	PALMD
782.1	CACNB1
362.1	AQP5
114785.1	MBD6
6559.1	SLC12A3
2358.1	FPR2
55813.1	UTP6
27074.1	LAMP3
4204.1	MECP2
59084.1	ENPP5
10227.1	MFSD10
23139.1	MAST2
9210.1	BMP15
57092.1	PCNP
116369.1	SLC26A8
2815.1	GP9
9367.1	RAB9A
26229.1	B3GAT3
89796.1	NAV1
7082.1	TJP1
8424.1	BBOX1
201266.1	SLC39A11
1114.1	CHGB
55644.1	OSGEP
2584.1	GALK1
27333.1	GOLIM4
6869.1	TACR1
3689.1	ITGB2
7078.1	TIMP3
261729.1	STEAP2
3091.1	HIF1A
2804.1	GOLGB1
80076.1	CEP135
55213.1	RCBTB1
5936.1	RBM4
4682.1	NUBP1
26829.1	RNU5E
8549.1	LGR5
471.1	ATIC
1774.1	DNASE1L1
5935.1	RBM3
3490.1	IGFBP7
6570.1	SLC18A1
5792.1	PTPRF
8325.1	FZD8
56133.1	PCDHB2
84329.1	HVCN1
8778.1	SIGLEC5
151306.1	GPBAR1
358.1	AQP1
11070.1	TMEM115
3105.1	HLA-A
26223.1	FBXL21
5170.1	PDPK1
3251.1	HPRT1
197.1	AHSG
134864.1	TAAR1
1017.1	CDK2
10565.1	ARFGEF1
94097.1	SFXN5
100132285.1	KIR2DS2
51655.1	RASD1
79369.1	B3GNT4
10653.1	SPINT2
79960.1	PHF17
2673.1	GFPT1
114987.1	WDR31
54433.1	GAR1
91304.1	C19orf6
222389.1	BEND7
11104.1	KATNA1
56650.1	CLDND1
6792.1	CDKL5
23614.1	PPY2
55770.1	EXOC2
3145.1	HMBS
51629.1	SLC25A39
9201.1	DCLK1
5239.1	PGM5
10905.1	MAN1A2
10741.1	RBBP9
55217.1	TMLHE
9637.1	FEZ2
28999.1	KLF15
4957.1	ODF2
2641.1	GCG
83394.1	PITPNM3
11015.1	KDELR3
80176.1	SPSB1
3161.1	HMMR
55576.1	STAB2
10981.1	RAB32
7178.1	TPT1
5950.1	RBP4
90139.1	TSPAN18
7412.1	VCAM1
23471.1	TRAM1
55891.1	LENEP
10591.1	RCL
25897.1	RNF19A
338433.1	HBII-52
8547.1	FCN3
55190.1	NUDT10
10273.1	STUB1
478.1	ATP1A3
1003.1	CDH5
23554.1	TSPAN12
54957.1	TXNL4B
10966.1	RAB40B
6758.1	SSX5
2342.1	FNTB
6407.1	SEMG2
135250.1	RAET1E
79961.1	DENND2D
50832.1	TAS2R4
163087.1	ZNF383
23011.1	RAB21
6729.1	SRP54
10369.1	CACNG2
5774.1	PTPN3
220972.1	MARCH8
5063.1	PAK3
8881.1	CDC16
3932.1	LCK
51522.1	TMEM14C
5080.1	PAX6
5299.1	SERPINA2
57211.1	GPR126
5795.1	PTPRJ
1571.1	CYP2E1
55144.1	LRRC8D
241.1	ALOX5AP
112885.1	PHF21B
79978.1	CD22
1801.1	DPH1
10713.1	USP39
59269.1	HIVEP3
284.1	ANGPT1
10472.1	ZNF238
27177.1	IL1F8
134353.1	LSM11
3037.1	HAS2
9595.1	CYTIP
5172.1	SLC26A4
23464.1	GCAT
1024.1	CDK8
5270.1	SERPINE2
93343.1	FAM125A
6605.1	SMARCE1
5000.1	ORC4L
2626.1	GATA4
6655.1	SOS2
10777.1	ARPP21
9804.1	TOMM20
8399.1	PLA2G10
283847.1	CCDC79
80243.1	PREX2
11040.1	PIM2
4637.1	MYL6
23162.1	MAPK8IP3
5714.1	PSMD8
22936.1	ELL2
379.1	ARL4D
63976.1	PRDM16
259239.1	WFDC11
10268.1	RAMP3
58189.1	WFDC1
1944.1	EFNA3
3623.1	INHA
1983.1	EIF5
2870.1	GRK6
4261.1	CIITA
29952.1	DPP7
2627.1	GATA6
23417.1	MLYCD
3190.1	HNRNPK
51366.1	UBR5
8195.1	MKKS
4738.1	NEDD8
3981.1	LIG4
115286.1	SLC25A26
56154.1	TEX15
51665.1	ASB1
3113.1	HLA-DPA1
6288.1	SAA1
51170.1	HSD17B11
1440.1	CSF3
9138.1	ARHGEF1
55295.1	KLHL26
8175.1	SF3A2
4790.1	NFKB1
83547.1	RILP
8929.1	PHOX2B
8452.1	CUL3
79602.1	ADIPOR2
81696.1	OR5V1
196294.1	IMMP1L
29102.1	RNASEN
56342.1	PPAN
54766.1	BTG4
3592.1	IL12A
3294.1	HSD17B2
8193.1	DPF1
2691.1	GHRH
125206.1	SLC5A10
55616.1	ASAP3
3242.1	HPD
4696.1	NDUFA3
2890.1	GRIA1
51011.1	FAHD2A
27327.1	TNRC6A
1415.1	CRYBB2
64781.1	CERK
11237.1	RNF24
51760.1	SYT17
6041.1	RNASEL
10054.1	UBA2
7673.1	ZNF222
11133.1	KPTN
8604.1	SLC25A12
79042.1	TSEN34
24149.1	ZNF318
6364.1	CCL20
8939.1	FUBP3
8837.1	CFLAR
335.1	APOA1
27068.1	PPA2
10333.1	TLR6
8967.1	HIST1H3A
6707.1	SPRR3
1401.1	CRP
9032.1	TM4SF5
1657.1	DMXL1
55512.1	SMPD3
64377.1	CHST8
22977.1	AKR7A3
7862.1	BRPF1
10856.1	CGB
2671.1	GFER
56938.1	ARNTL2
36.1	ACADSB
6199.1	RPS6KB2
7755.1	ZNF205
10135.1	NAMPT
1875.1	E2F5
8631.1	SKAP1
2176.1	FANCC
554.1	AVPR2
4823.1	NKX2-4
23536.1	ADAT1
84651.1	SPINK7
6678.1	SPARC
80227.1	PAAF1
58190.1	CTDSP1
5250.1	SLC25A3
4567.1	MTTL1
64780.1	MICAL1
10284.1	SAP18
2624.1	GATA2
5957.1	RCVRN
3118.1	HLA-DQA2
57455.1	REXO1
319.1	APOF
55276.1	PGM2
4090.1	SMAD5
6206.1	RPS12
2784.1	GNB3
6924.1	TCEB3
65121.1	PRAMEF1
2115.1	ETV1
83934.1	FUCA2
145258.1	GSC
1979.1	EIF4EBP2
29761.1	USP25
5409.1	PNMT
9826.1	ARHGEF11
121599.1	SPIC
3575.1	IL7R
3206.1	HOXA10
1908.1	EDN3
3069.1	HDLBP
4026.1	LPP
10671.1	DCTN6
92999.1	ZBTB47
79933.1	SYNPO2L
56919.1	DHX33
53630.1	BCMO1
63950.1	DMRTA2
1351.1	COX8A
55132.1	LARP1B
9543.1	IGDCC3
909.1	CD1A
56916.1	SMARCAD1
5801.1	PTPRR
2959.1	GTF2B
6367.1	CCL22
3222.1	HOXC5
23037.1	PDZD2
6512.1	SLC1A7
23439.1	ATP1B4
51199.1	NIN
144321.1	GLIPR1L2
27339.1	PRPF19
55793.1	FAM63A
5406.1	PNLIP
283844.1	VWA3A
50945.1	TBX22
898.1	CCNE1
126147.1	NTN5
4622.1	MYH4
51175.1	TUBE1
6633.1	SNRPD2
134429.1	STARD4
24140.1	FTSJ1
85388.1	LOC85388
57282.1	SLC4A10
1117.1	CHI3L2
8497.1	PPFIA4
9054.1	NFS1
3709.1	ITPR2
27166.1	PRELID1
22943.1	DKK1
1871.1	E2F3
55327.1	LIN7C
51644.1	COPZ1
6833.1	ABCC8
7701.1	ZNF142
51520.1	LARS
7464.1	CORO2A
29974.1	A1CF
63926.1	ANKRD5
57412.1	AS3MT
6575.1	SLC20A2
7218.1	TRP2
8553.1	BHLHE40
9509.1	ADAMTS2
150379.1	PNPLA5
3219.1	HOXB9
7718.1	ZNF165
23540.1	TRS3
10588.1	MTHFS
7208.1	TRL2
91179.1	SCARF2
94017.1	TRS1
27012.1	KCNV1
7198.1	TRGL1
55607.1	PPP1R9A
8676.1	STX11
7232.1	TRR3
55008.1	HERC6
7193.1	TRE
23443.1	SLC35A3
7228.1	TRQ1
5874.1	RAB27B
4570.1	MTTN
4091.1	SMAD6
7214.1	TRN
4556.1	MTTE
2785.1	GNG3
7210.1	TRM1
8715.1	NOL4
2923.1	PDIA3
10544.1	PROCR
7206.1	TRK1
30846.1	EHD2
1311.1	COMP
2778.1	GNAS
7195.1	TRG1
140.1	ADORA3
7229.1	TRQ2
4571.1	MTTP
6618.1	SNAPC2
7217.1	TRP1
23174.1	ZCCHC14
4563.1	MTTG
84448.1	ABLIM2
79085.1	SLC25A23
116844.1	LRG1
7212.1	TRMI1
23437.1	TRS2
4886.1	NPY1R
10999.1	SLC27A4
7207.1	TRL1
23264.1	ZC3H7B
6945.1	MLX
7239.1	TRV1
7196.1	TRG2
8028.1	MLLT10
112574.1	SNX18
7230.1	TRR1
7154.1	TRAN
80351.1	TNKS2
9308.1	CD83
2197.1	FAU
27332.1	ZNF638
66035.1	SLC2A11
5081.1	PAX7
284366.1	KLK8
4041.1	LRP5
25998.1	IBTK
7476.1	WNT7A
8916.1	HERC3
332.1	BIRC5
79092.1	CARD14
10462.1	CLEC10A
11273.1	ATXN2L
10461.1	MERTK
4174.1	MCM5
7462.1	LAT2
9298.1	RNU31
84706.1	GPT2
27253.1	PCDH17
338430.1	HBII-85
26862.1	RNU1G4
7253.1	TSHR
26830.1	RNU5D
11014.1	KDELR2
26813.1	RNU36C
3004.1	GZMM
26797.1	RNU52
26765.1	RNU106
8944.1	RNU73
84872.1	ZC3H10
6083.1	RNU21
338427.1	HBII-437
11009.1	IL24
140687.1	GCNT7
26850.1	RNU3A2
26827.1	RNU6A
63875.1	MRPL17
26810.1	RNU41
55757.1	UGCGL2
26794.1	RNU55
5607.1	MAP2K5
26778.1	RNU70
139741.1	ACTRT1
138948.1	LOC138948
94162.1	U38A
85390.1	LOC85390
117166.1	WFIKKN
6080.1	RNU17A
25798.1	BRI3
283131.1	TncRNA
57136.1	APMAP
26847.1	RNU3B2
26823.1	RNU12
55655.1	NLRP2
26807.1	RNU43
2639.1	GCDH
26791.1	RNU58A
5626.1	PROP1
26775.1	RNU72
116937.1	RNU83A
2700.1	GJA3
93653.1	ST7OT1
84546.1	RNU35B
4946.1	OAZ1
6060.1	RNU1A
2864.1	FFAR1
2765.1	GML
26837.1	RNU4A
4285.1	MIPEP
26820.1	RNU24
7270.1	TTF1
166378.1	SPATA5
26804.1	RNU45B
26788.1	RNU60
9399.1	STOML1
26772.1	RNU101B
10011.1	SRA1
132160.1	PPM1M
9302.1	RNU26
7012.1	TERC
6023.1	RMRP
5770.1	PTPN1
26834.1	RNU4C
84333.1	PCGF5
6006.1	RHCE
26801.1	RNU48
26785.1	RNU63
1200.1	TPP1
26769.1	RNU104
4301.1	MLLT4
9299.1	RNU30
6090.1	RNY5
6005.1	RHAG
10483.1	SEC23B
9087.1	TMSB4Y
26863.1	RNU1G3
4784.1	NFIX
26831.1	RNU5C
9526.1	MPDU1
26814.1	RNU36B
26798.1	RNU51
10019.1	SH2B3
26782.1	RNU66
1111.1	CHEK1
26766.1	RNU105C
6296.1	ACSM3
91380.1	HBII-436
6084.1	RNY1
338428.1	HBII-438A
26851.1	RNU3A1
6835.1	SURF2
26828.1	RNU5F
26811.1	RNU39
60678.1	EEFSEC
26795.1	RNU54
26779.1	RNU69
196475.1	NCRMS
9801.1	MRPL19
85391.1	LOC85391
64946.1	CENPH
6081.1	RNU17B
25777.1	UNC84B
319103.1	RNU6C
27102.1	EIF2AK1
26848.1	RNU3B1
26824.1	RNU11
286887.1	KRT6C
116173.1	CMTM5
26808.1	RNU42B
26792.1	RNU57
10342.1	TFG
84366.1	PRAC
26776.1	RNU71B
51131.1	PHF11
116938.1	RNU83B
94163.1	U38B
60436.1	TGIF2
93654.1	ST7OT2
50801.1	KCNK4
6067.1	RNU3
3679.1	ITGA7
26870.1	RNU1C1
580.1	BARD1
26845.1	RNU3B4
9048.1	ARTN
148304.1	C1orf74
26821.1	RNU19
26805.1	RNU45A
26789.1	RNU59
27286.1	SRPX2
26773.1	RNU101A
10413.1	YAP1
846.1	CASR
8043.1	H19
6043.1	RNU107
26867.1	RNU1E2
26835.1	RNU4B2
140679.1	SLC32A1
26818.1	RNU33
55734.1	ZFP64
26786.1	RNU62
9300.1	RNU28
54469.1	ZFAND6
10609.1	SC65
618.1	BCYRN1
6723.1	SRM
51808.1	RNUXA
26864.1	RNU1G2
11129.1	SFRS16
26832.1	RNU5B
9597.1	SMAD5OS
26815.1	RNU36A
5373.1	PMM2
26799.1	RNU50
27161.1	EIF2C2
26783.1	RNU65
1238.1	ACKR2
26767.1	RNU105B
9297.1	RNU29
57623.1	ZFAT
6085.1	RNY3
338429.1	HBII-438B
51385.1	ZNF589
26855.1	RNU2B
58475.1	MS4A7
26812.1	RNU37
5858.1	PZP
10743.1	RAI1
26796.1	RNU53
5424.1	POLD1
26780.1	RNU68
25826.1	RNU82
6768.1	ST14
85495.1	H1RNA
6082.1	RNU20
25820.1	ARIH1
319139.1	RNU56B
80741.1	LY6G5C
26849.1	RNU3A3
26826.1	RNU6B
26809.1	RNU42A
489.1	ATP2A3
26793.1	RNU56
26777.1	RNU71A
4654.1	MYOD1
125050.1	7SK
57511.1	COG6
94161.1	RNU40
2004.1	ELK3
85389.1	LOC85389
84033.1	OBSCN
6079.1	RNU15A
85413.1	SLC22A16
26871.1	RNU1A3
26846.1	RNU3B3
26822.1	RNU14
9962.1	SLC23A2
3270.1	HRC
26806.1	RNU44
84641.1	HIATL1
26790.1	RNU58B
26774.1	RNU100
51318.1	MRPL35
116936.1	RNU86
64135.1	IFIH1
9304.1	RNU22
378.1	ARF4
10521.1	DDX17
6044.1	RNU108
9453.1	GGPS1
26868.1	RNU1D2
26836.1	RNU4B1
2060.1	EPS15
22992.1	KDM2A
26819.1	RNU32
26803.1	RNU46
10446.1	LRRN2
26787.1	RNU61
26771.1	RNU102
28511.1	NKIRAS2
9301.1	RNU27
64577.1	ALDH8A1
63968.1	PWCR1
11018.1	TMED1
55384.1	MEG3
822.1	CAPG
26865.1	RNU1G1
26833.1	RNU5A
26816.1	RNU35
84694.1	GJA10
148867.1	SLC30A7
26800.1	RNU49
26784.1	RNU64
5129.1	PCTK3
9767.1	PHF16
26768.1	RNU105A
1756.1	DMD
10553.1	HTATIP2
137695.1	TMEM68
79731.1	NARS2
1207.1	CLNS1A
705.1	BYSL
64800.1	EFCAB6
56945.1	MRPS22
79912.1	PYROXD1
57057.1	TBX20
4924.1	NUCB1
10663.1	CXCR6
55715.1	DOK4
4640.1	MYO1A
6198.1	RPS6KB1
131540.1	ZDHHC19
1641.1	DCX
8560.1	DEGS1
51337.1	C8orf55
7478.1	WNT8A
10235.1	RASGRP2
8967.1	HIST1H3A
56241.1	SUSD2
9254.1	CACNA2D2
1152.1	CKB
3569.1	IL6
5730.1	PTGDS
10307.1	APBB3
10658.1	CUGBP1
10129.1	FRY
54567.1	DLL4
26207.1	PITPNC1
51411.1	BIN2
79175.1	ZNF343
6542.1	SLC7A2
9350.1	CER1
23120.1	ATP10B
7781.1	SLC30A3
22907.1	DHX30
8339.1	HIST1H2BG
10309.1	CCNO
2167.1	FABP4
978.1	CDA
3081.1	HGD
26509.1	MYOF
3710.1	ITPR3
55624.1	POMGNT1
55596.1	ZCCHC8
8519.1	IFITM1
6814.1	STXBP3
9982.1	FGFBP1
117581.1	TWIST1
26287.1	ANKRD2
55352.1	COPR5
22806.1	IKZF3
27043.1	PELP1
9751.1	SNPH
11034.1	DSTN
26088.1	GGA1
763.1	CA5A
80712.1	ESX1
2661.1	GDF9
6909.1	TBX2
5501.1	PPP1CC
7993.1	UBXN8
8621.1	CDC2L5
7168.1	TPM1
9208.1	LRRFIP1
22794.1	CASC3
5069.1	PAPPA
7802.1	DNALI1
84766.1	EFCAB4B
89872.1	AQP10
11021.1	RAB35
8531.1	CSDA
8260.1	NAA10
6323.1	SCN1A
58531.1	PRM3
27315.1	PGAP2
57582.1	KCNT1
27329.1	ANGPTL3
6389.1	SDHA
53407.1	STX18
9333.1	TGM5
85315.1	PAQR8
2571.1	GAD1
10536.1	P3H3
9957.1	HS3ST1
10120.1	ACTR1B
29775.1	CARD10
245972.1	ATP6V0D2
8431.1	NR0B2
116496.1	FAM129A
876.1	CBX2
51106.1	TFB1M
5861.1	RAB1A
26579.1	MYEOV
55031.1	USP47
10562.1	OLFM4
8992.1	ATP6V0E1
9672.1	SDC3
2939.1	GSTA2
4440.1	MSI1
4171.1	MCM2
5932.1	RBBP8
5355.1	PLP2
79178.1	THTPA
9249.1	DHRS3
24139.1	EML2
55334.1	SLC39A9
5701.1	PSMC2
1137.1	CHRNA4
6125.1	RPL5
81490.1	PTDSS2
79187.1	FSD1
4879.1	NPPB
9491.1	PSMF1
9245.1	GCNT3
1026.1	CDKN1A
133121.1	ENPP6
80299.1	GRB2
29926.1	GMPPA
56992.1	KIF15
7159.1	TP53BP2
89777.1	SERPINB12
1662.1	DDX10
2329.1	FMO4
6910.1	TBX5
4745.1	NELL1
7091.1	TLE4
159296.1	NKX2-3
5817.1	PVR
94039.1	ZNF101
4189.1	DNAJB9
4629.1	MYH11
57147.1	SCYL3
60484.1	HAPLN2
9364.1	RAB28
9320.1	TRIP12
2330.1	FMO5
10059.1	DNM1L
51435.1	SCARA3
11083.1	DIDO1
9456.1	HOMER1
4820.1	NKTR
64744.1	SMAP2
6093.1	ROCK1
5515.1	PPP2CA
2967.1	GTF2H3
10849.1	CD3EAP
911.1	CD1C
26578.1	OSTF1
5876.1	RABGGTB
252839.1	TMEM9
254122.1	SNX32
131377.1	KBTBD5
11061.1	LECT1
29112.1	PSORS1C2
5634.1	PRPS2
57823.1	SLAMF7
926.1	CD8B
57010.1	CABP4
51160.1	VPS28
9141.1	PDCD5
80153.1	EDC3
2837.1	UTS2R
8844.1	KSR1
7112.1	TMPO
5327.1	PLAT
145482.1	PTGR2
5229.1	PGGT1B
8967.1	HIST1H3A
23671.1	TMEFF2
64116.1	SLC39A8
10362.1	HMG20B
26538.1	OR10H2
29956.1	LASS2
121481.1	CLEC4D
5318.1	PKP2
7248.1	TSC1
7879.1	RAB7A
3984.1	LIMK1
55801.1	IL26
6478.1	SIAH2
26090.1	ABHD12
5880.1	RAC2
5776.1	PTPN5
26103.1	LRIT1
6472.1	SHMT2
6616.1	SNAP25
3621.1	ING1
1069.1	CETN2
93.1	ACVR2B
9489.1	PGS1
2213.1	FCGR2B
23246.1	BOP1
1642.1	DDB1
5457.1	POU4F1
84279.1	PAP21
7138.1	TNNT1
3053.1	SERPIND1
23047.1	PDS5B
84816.1	RTN4IP1
6897.1	TARS
3925.1	STMN1
54566.1	EPB41L4B
121504.1	HIST1H4J
56924.1	PAK6
55858.1	TMEM165
10482.1	NXF1
51348.1	KLRF1
7020.1	TFAP2A
58528.1	RRAGD
4023.1	LPL
5068.1	REG3A
7852.1	CXCR4
5745.1	PTH1R
6533.1	SLC6A6
9466.1	IL27RA
3394.1	IRF8
7368.1	UGT8
2962.1	GTF2F1
4093.1	SMAD9
79752.1	ZFAND1
8625.1	RFXANK
80155.1	NAA15
196887.1	CDH24
1674.1	DES
6574.1	SLC20A1
9212.1	AURKB
79899.1	PROTOR2
8729.1	GBF1
25988.1	HINFP
51663.1	ZFR
119.1	ADD2
4854.1	NOTCH3
196883.1	ADCY4
282974.1	STK32C
4256.1	MGP
116362.1	RBP7
2781.1	GNAZ
26973.1	CHORDC1
3000.1	GUCY2D
4537.1	MT-ND3
4215.1	MAP3K3
9183.1	ZW10
47.1	ACLY
11064.1	CEP110
224.1	ALDH3A2
54946.1	SLC41A3
84618.1	NT5C1A
10098.1	TSPAN5
2932.1	GSK3B
65012.1	SLC26A10
54221.1	SNTG2
8764.1	TNFRSF14
138639.1	PTPDC1
1830.1	DSG3
10459.1	MAD2L2
6755.1	SSTR5
5603.1	MAPK13
3061.1	HCRTR1
7764.1	ZNF217
8677.1	STX10
6464.1	SHC1
28982.1	FLVCR1
10164.1	CHST4
5875.1	RABGGTA
64794.1	DDX31
7201.1	TRHR
3762.1	KCNJ5
5308.1	PITX2
22822.1	PHLDA1
1528.1	CYB5A
841.1	CASP8
9242.1	MSC
4825.1	NKX6-1
2165.1	F13B
10079.1	ATP9A
6351.1	CCL4
1675.1	CFD
3736.1	KCNA1
1602.1	DACH1
1048.1	CEACAM5
57019.1	CIAPIN1
9678.1	PHF14
8287.1	USP9Y
6837.1	MED22
51362.1	CDC40
23576.1	DDAH1
55806.1	HR
343172.1	OR2T8
9963.1	SLC23A1
140469.1	MYO3B
51475.1	CABP2
1943.1	EFNA2
6868.1	ADAM17
9793.1	CKAP5
55437.1	STRADB
116986.1	AGAP2
5028.1	P2RY1
85378.1	TUBGCP6
2542.1	SLC37A4
5906.1	RAP1A
117283.1	IP6K3
6832.1	SUPV3L1
434.1	ASIP
4609.1	MYC
652.1	BMP4
64091.1	POPDC2
6227.1	RPS21
2217.1	FCGRT
3687.1	ITGAX
51550.1	CINP
5778.1	PTPN7
4115.1	MAGEB4
53831.1	GPR84
55577.1	NAGK
8850.1	KAT2B
28968.1	SLC6A16
81788.1	NUAK2
9095.1	TBX19
1353.1	COX11
8925.1	HERC1
10613.1	ERLIN1
83714.1	NRIP2
11343.1	MGLL
127623.1	OR2B11
58157.1	NGB
81029.1	WNT5B
10842.1	GSBS
996.1	CDC27
640.1	BLK
2791.1	GNG11
53.1	ACP2
80895.1	ILKAP
7455.1	ZAN
3620.1	IDO1
51351.1	ZNF117
54556.1	ING3
4258.1	MGST2
5653.1	KLK6
166614.1	DCLK2
5860.1	QDPR
1410.1	CRYAB
5705.1	PSMC5
51317.1	PHF21A
11044.1	POLS
11126.1	CD160
257169.1	C9orf43
3559.1	IL2RA
4905.1	NSF
7102.1	TSPAN7
84253.1	GARNL3
25946.1	ZNF385A
10528.1	NOP56
25937.1	WWTR1
7779.1	SLC30A1
149708.1	WFDC5
199777.1	ZNF208
79882.1	ZC3H14
7375.1	USP4
2997.1	GYS1
1559.1	CYP2C9
27132.1	CPNE7
2841.1	GPR18
1843.1	DUSP1
54534.1	MRPL50
113675.1	SDSL
6286.1	S100P
11317.1	RBPJL
1650.1	DDOST
7044.1	LEFTY2
54997.1	TESC
54681.1	P4HTM
64131.1	XYLT1
10721.1	POLQ
6461.1	SHB
3712.1	IVD
283209.1	PGM2L1
8662.1	EIF3B
337876.1	CHSY3
23098.1	SARM
3001.1	GZMA
147700.1	KLC3
1956.1	EGFR
5016.1	OVGP1
10882.1	C1QL1
4247.1	MGAT2
10142.1	AKAP9
165530.1	CLEC4F
55311.1	ZNF444
10873.1	ME3
26060.1	APPL1
7077.1	TIMP2
55247.1	NEIL3
84100.1	ARL6
174.1	AFP
2625.1	GATA3
923.1	CD6
10765.1	KDM5B
9334.1	B4GALT5
23175.1	LPIN1
7097.1	TLR2
1633.1	DCK
29988.1	SLC2A8
55968.1	NSFL1C
8708.1	B3GALT1
55012.1	PPP2R3C
10326.1	SIRPB1
6919.1	TCEA2
8209.1	C21orf33
900.1	CCNG1
115677.1	NOSTRIN
51580.1	RBPJ
55316.1	RSAD1
4741.1	NEFM
6712.1	SPTBN2
9314.1	KLF4
6372.1	CXCL6
4601.1	MXI1
317649.1	EIF4E3
3235.1	HOXD9
57459.1	GATAD2B
10026.1	PIGK
55809.1	TRERF1
65125.1	WNK1
260429.1	PRSS33
3382.1	ICA1
170689.1	ADAMTS15
55894.1	DEFB103A
6804.1	STX1A
79445.1	CYP2R1
54853.1	WDR55
8496.1	PPFIBP1
50809.1	HP1BP3
6881.1	TAF10
51330.1	TNFRSF12A
51384.1	WNT16
2830.1	GPR6
1807.1	DPYS
57563.1	KLHL8
5423.1	POLB
85415.1	RHPN2
9002.1	F2RL3
9231.1	DLG5
55521.1	TRIM36
1363.1	CPE
1136.1	CHRNA3
259249.1	MRGPRX1
5093.1	PCBP1
8614.1	STC2
6722.1	SRF
28978.1	TMEM14A
30845.1	EHD3
23014.1	FBXO21
3133.1	HLA-E
146456.1	TMED6
10730.1	YME1L1
23277.1	CLUH
30814.1	PLA2G2E
51523.1	CXXC5
54020.1	SLC37A1
5753.1	PTK6
2034.1	EPAS1
167.1	CRISP1
51382.1	ATP6V1D
5558.1	PRIM2
137209.1	ZNF572
2689.1	GH2
6510.1	SLC1A5
9295.1	SFRS11
89869.1	PLCZ1
55781.1	RIOK2
51304.1	ZDHHC3
58985.1	IL22RA1
18.1	ABAT
4254.1	KITLG
7678.1	ZNF124
55206.1	SBNO1
2277.1	FIGF
1474.1	CST6
9863.1	MAGI2
3787.1	KCNS1
7515.1	XRCC1
3955.1	LFNG
55553.1	SOX6
5137.1	PDE1C
8445.1	DYRK2
199232.1	UBE2E1
29777.1	ABT1
8085.1	MLL2
10401.1	PIAS3
5368.1	PNOC
8649.1	MAPKSP1
