Genes	Number of families 	Novel gene 	Phenotype class 	Report 
SCN9A	2			
SDHB	2			
SETBP1	2	N	Explained, known phenotype	
SETD1B	2			
SLC22A12	2	N	Explained, known phenotype	
SLC34A1	2	N	Explained, known phenotype	
SMARCA2	2			
SMARCC2	2			
SMC1A	2	N	Explained, known phenotype	
SNX16	2	Y	Novel phenotype	
SPINK5	2			
SQSTM1	2	N	Explained, known phenotype	
SRPK3	2	Y	Novel phenotype	
SS18L1	2			
SSPO	2	Y	Novel phenotype	
STAB1	2	Y	Novel phenotype	
SYNCRIP	2			
TAF4	2	Y	Novel phenotype	
TANC2	2			
TBCD	2			
TCIRG1	2	N	Explained, known phenotype	
TENM4	2			
TET3	2			
TJP2	2	N	Explained, known phenotype	
TJP3	2			
TRAPPC11	2	N	Explained, known phenotype	
TSC2	2			
TTC21B	2	N	Novel phenotype	
UNC13D	2	N	Explained, known phenotype	
VAC14	2			
VARS	2			
WFS1	2			
XYLT1	2			
ZMYND11	2			
ZNF292	2	Y	Novel phenotype	
ZNF462	2	N	Explained, known phenotype	
A2ML1	1			
AACS	1			
ABCA4	1			
ABCA6	1			
ABCB4	1			
ABCC6	1			
ABCC8	1			
ABCC9	1			
ABCD1	1			
ABHD16B	1			
ABL1	1			
ABLIM3	1			
ACAN	1			
ACSS2	1			
ACTB	1			
ACTL6B	1			
ADAM10	1			
ADAM19	1			
ADAM22	1			
ADAMTS13	1			
ADAMTS9	1			
ADAMTSL3	1			
ADCY1	1			
ADCY2	1			
ADCY5	1			
ADGRG4	1			
ADGRL1	1			
ADGRL3	1			
ADH7	1			
ADNP	1			
ADRA1B	1			
AFF3	1			
AFF4	1			
AGAP1	1			
AGEL	1			
AGPAT3	1			
AGT	1			
AHR	1			
AIMP2	1			
AK9	1			
AKAP12	1			
AKAP6	1			
AKR1E2	1			
ALCAM	1			
ALDH7A1	1			
ALDOB	1			
ALG1	1			
ALG11	1			
ALG13	1			
ALG8	1			
ALMS1	1			
ALOXE3	1			
ALPL	1			
ALX1	1			
AMIGO3	1			
AMPD1	1			
ANK2	1			
ANK3	1			
ANKRD36	1			
ANKRD46	1			
ANO1	1			
ANP32B	1			
AP1M1	1			
AP1S2	1			
AP4B1	1			
APC2	1			
APLN	1			
AQP2	1			
AR	1			
ARAP1	1			
ARHGAP26	1			
ARHGAP26-AS1	1			
ARHGAP35	1			
ARHGEF15	1			
ARHGEF33	1			
ARID1A	1			
ARID1B	1			
ARID4A	1			
ARIH1	1			
ARMC3	1			
ASAH1	1			
ASB16	1			
ASB8	1			
ASNA1	1			
ATAD3A	1			
ATF6	1			
ATG4D	1			
ATL2	1			
ATP11C	1			
ATP1A3	1			
ATP2C1	1			
ATP5H	1			
ATP8A1	1			
ATRAID	1			
ATRX	1			
ATXN	1			
ATXN1	1			
B3GALNT2	1			
B3GAT2	1	Y	Novel phenotype	
BANF1	1			
BANK1	1			
BBS12	1			
BBS5	1			
BCAM	1			
BCAN	1			
BCAP31	1			
BCL11B	1			
BCLAF1	1			
BCOR	1	N	Novel phenotype	
BEST1	1			
BEST2	1			
BGN	1			
BICD2	1			
BIRC6	1			
BMP10	1			
BRAT1	1			
BRCA1	1			
BRD4	1			
BRICD5	1			
BSDC1	1			
BSN	1			
BTBD7	1			
C17orf62	1			
C1R	1			
C1S	1			
C2CD4D	1			
C2orf61	1			
C3ORF58	1			
C5ORF30	1			
C6ORF226	1			
CABLES1	1			
CACHD1	1			
CACNA1B	1			
CACNA1D	1			
CACNA1H	1			
CACNA2D2	1			
CACNG7	1			
CAD	1			
CALM1	1			
CAMK2B	1			
CAMK2G	1			
CANT1	1			
CAPN2	1			
CAPN6	1			
CARD11	1			
CARNMT1	1			
CASC3	1			
CASKIN2	1			
CBY1	1			
CC2D1A	1			
CCDC61	1			
CCT6A	1			
CD19	1			
CDC16	1			
CDC42	1			
CDC42BPA	1			
CDCA2	1			
CDH1	1			
CDH18	1			
CDK11A	1			
CDK16	1			
CDK5RAP3	1			
CELF4	1			
CELSR1	1			
CENPN	1			
CEP250	1			
CEP85L	1			
CFAP47	1			
CFTR	1			
CHD1	1			
CHD5	1			
CHIC2	1			
CHKB	1			
CHMP2A	1			
CHMP4B	1			
CHRM4	1			
CHRNA1	1			
CHRNA2	1			
CHRNB1	1			
CHRND	1			
CHST2	1			
CIB1	1			
CIC	1			
CLCC1	1			
CLCN1	1			
CLCN4	1			
CLDN16	1			
CLK2	1			
CLP1	1			
CLPP	1			
CLSTN3	1			
CLUAP1	1			
CMAS	1			
CMPK2	1			
CNKSR1	1			
CNNM1	1			
CNOT1	1			
CNOT3	1			
CNOT4	1			
CNTN3	1			
COG1	1			
COG5	1			
COG7	1			
COL24A1	1			
COL3A1	1			
COL4A2	1			
COL4A4	1			
COL5A2	1			
COL6A2	1			
COL7A1	1			
COL9A2	1			
COL9A3	1			
COMP	1			
COPB2	1			
CPA6	1			
CPNE7	1			
CPSF1	1			
CPT2	1			
CRCP	1			
CRLF2	1			
CSF1R	1			
CSMD1	1			
CSMD3	1			
CSNK1D	1			
CSNK2B	1			
CTCF	1			
CTDP1	1			
CTGF	1			
CTLA4	1			
CTNNA3	1			
CTNND1	1			
CUL1	1			
CUL4B	1			
CYLD	1			
CYP11B1	1			
CYP11B2	1			
CYP2C9	1			
CYP4V2	1			
DACH1	1			
DAGLA	1			
DBH	1			
DBNL	1			
DCC	1			
DCDC2	1			
DCHS1	1			
DDN	1			
DDX55	1			
DEAF1	1			
DENND6B	1			
DEPTOR	1			
DFNB59	1			
DGKH	1			
DHCR7	1			
DHDDS	1			
DHX33	1			
DHX38	1			
DIABLO	1			
DIAPH1	1			
DIDO1	1			
DIP2C	1			
DISP3	1			
DLD	1			
DMBT1	1			
DMGDH	1			
DMXL1	1			
DNAH14	1			
DNAH2	1			
DNAH7	1			
DNAH8	1			
DNAJC6	1			
DNM1	1			
DNM1L	1			
DNMT3A	1			
DNPEP	1			
DOCK10	1			
DOHH	1			
DOK7	1			
DOPEY2	1			
DPF2	1			
DUOX2	1			
DUSP22	1			
DVL2	1			
DYNC2LI1	1			
DYRK1A	1			
DYSF	1			
EBF3	1			
ECE1	1			
EFL1	1			
EFNB3	1			
EFTUD1P1	1			
EFTUD2	1			
EGFL6	1			
EI24	1			
EID2	1			
ELOVL3	1			
ELP2	1			
ELP6	1			
EMC1	1			
EML2	1			
ENPP1	1			
EOGT	1			
EPHB3	1			
EPHB4	1			
EPN2	1			
EPRS	1			
ERBB2	1			
ERCC3	1			
ERCC4	1			
ERCC5	1			
ETS2	1			
EVC	1			
EXD3	1			
EXPH5	1			
F10	1			
F8	1			
FAM177A1	1			
FAM189B	1			
FAM210A	1			
FAM92A1	1			
FASTKD2	1			
FAT2	1			
FBN1	1			
FBXO7	1			
FBXW7	1			
FCHSD2	1			
FDX1	1			
FGD1	1			
FGD4	1			
FGF1	1			
FGF10	1			
FGFR2	1			
FGR	1			
FHOD3	1			
FIG4	1			
FKTN	1			
FLRT1	1			
FLT3	1			
FLT4	1			
FMN2	1			
FMR1	1			
FN1	1			
FOXC2	1			
FOXE1	1			
FOXE3	1			
FOXI1	1			
FOXP2	1			
FOXP3	1			
FRMD7	1			
FRMPD1	1			
FSCN2	1			
FST	1			
FUK	1			
FUZ	1			
FXR1	1			
FZD3	1			
GAA	1			
GABRB2	1			
GALK1	1			
GARNL3	1			
GATA6	1			
GATAD2B	1			
GBA	1			
GBE1	1			
GBF1	1			
GDF10	1			
GDF11	1			
GET4	1			
GFPT2	1			
GGA3	1			
GGCX	1			
GJD3	1			
GNA01	1			
GNAI1	1			
GNAO1	1			
GNB3	1			
GNPDA1	1			
GOLGA8N	1			
GP9	1			
GPR17	1			
GPR87	1			
GPRASP1	1			
GPSM2	1			
GRB2	1			
GRIA2	1			
GRIA3	1			
GRID1	1			
GRIK5	1			
GRK2	1			
GSG1	1			
GSK3A	1			
GSK3B	1			
GTPBP3	1			
GUCY1B3	1			
GXYLT1	1			
GYS1	1			
H3F3B	1			
H6PD	1			
HAVCR2	1			
HCCS	1			
HCLS1	1			
HCN4	1			
HDAC8	1			
HDLBP	1			
HECW2	1			
HEXA	1			
HID1	1			
HIST1H4D	1			
HIVEP2	1			
HK1	1			
HK3	1			
HKDC1	1			
HMGN1	1			
HMHB1	1			
HMOX1	1			
HNF1A	1			
HNF4A	1			
HNRNPH2	1			
HNRNPK	1			
HOXA3	1			
HOXD13	1			
HPS3	1			
HSBP1	1			
HSP90AA1	1			
HTR2A	1			
HTT	1			
HYLS1	1			
ICK	1			
IFNGR1	1			
IFT172	1			
IFT43	1			
IFT52	1			
IFT74	1			
IFT81	1			
IGF2BP3	1			
IGFN1	1			
IGSF21	1			
IL10	1			
IL1R1	1			
IL1R2	1			
INF2	1			
INPP5E	1	N	Explained, known phenotype	
INTS6L	1			
INTU	1			
IPO11	1			
IPO9	1			
IQCE	1			
IREB2	1			
IRF2BPL	1			
ITGA2	1			
ITGA2B	1			
ITGA5	1			
ITGAV	1			
ITGB4	1			
ITGB6	1			
ITIH5	1			
ITPKC	1			
ITPR2	1			
IVNS1ABP	1			
KANSL1	1			
KANSL3	1			
KARS	1			
KAT6B	1			
KCNA2	1			
KCND3	1			
KCNE1	1			
KCNH2	1			
KCNH7	1			
KCNJ10	1			
KCNMA1	1			
KCNT1	1			
KCNV2	1			
KCTD16	1			
KCTD2	1			
KDM2A	1			
KDM3B	1			
KDM4B	1			
KDM6A	1			
KIAA0141	1			
KIAA0586	1			
KIAA0825	1			
KIAA0930	1			
KIAA1210	1			
KIF11	1			
KIF1B	1			
KIF25	1			
KIF26A	1			
KIF5C	1			
KLB	1			
KLHDC7A	1			
KLHL14	1			
KLHL20	1			
KLHL33	1			
KRAS	1			
KRT1	1			
KRT25	1			
KRT8	1			
KSR2	1			
L1CAM	1			
LACE1	1			
LAMA1	1			
LAMA3	1			
LAMB1	1			
LAMP2	1			
LAMTOR4	1			
LARP4B	1			
LAS1L	1			
LBR	1			
LDC729080	1			
LEMD3	1			
LGR6	1			
LMNA	1			
LOC100289361	1			
LOC100507389	1			
LOC81691	1			
LOX	1			
LRP2	1			
LRP4	1			
LRP5	1			
LRRK2	1			
LTBP3	1			
LUC7L	1			
LYPLA2	1			
LYST	1			
LZTR1	1			
MAF	1			
MAP2K1	1			
MAP3K7	1			
MAP4K4	1			
MAPK8IP3	1			
MARCH7	1			
MAST3	1			
MBD1	1			
MBNL2	1			
MBTPS1	1			
MCF2L2	1			
MCHR2	1			
MED13L	1			
MED14	1			
MED16	1			
MEGF6	1			
MEGF9	1			
MEIS1	1			
METAZOA_SRP	1			
MEX3C	1			
MFN2	1			
MGA	1			
MICAL2	1			
MICU1	1			
MID1	1			
MIF4GD	1			
MIR186	1			
MIR5197	1			
MIR633	1			
MKL1	1			
MLH1	1			
MMACHC	1			
MMP13	1			
MOCOS	1			
MOCS2	1			
MOGAT1	1			
MOGS	1			
MORC1	1			
MORC2	1			
MORN3	1			
MPI	1			
MPLKIP	1			
MPP3	1			
MRPL58	1			
MRPS7	1			
MSL2	1			
MT-CO1	1			
MT-CO2	1			
MTERF4	1			
MT-ND5	1			
MTPAP	1			
MUC16	1			
MUC6	1			
MVD	1			
MYB	1			
MYH2	1			
MYH6	1			
MYH7B	1			
MYLK4	1			
MYO15A	1			
MYOM1	1			
MYOM2	1			
MYT1	1			
N4BP1	1			
NAA60	1			
NAALADL2	1			
NAGA	1			
NAGLU	1			
NAP1L5	1			
NBEA	1			
NBPF9	1			
NCAPG2	1			
NCAPH2	1			
NCOR1	1			
NCOR2	1			
NDE1	1			
NDFIP1	1			
NDUFA10	1			
NDUFAF5	1			
NDUFB1	1			
NEDD4L	1			
NEFL	1			
NEK3	1			
NETO1	1			
NF1	1			
NF2	1			
NFAT5	1			
NFS1	1			
NGDN	1			
NGLY1	1			
NIPBL	1			
NLGN4X	1			
NLRP7	1			
NMNAT2	1			
NONO	1			
NOTCH2	1			
NOVA1	1			
NPAS2	1			
NPAT	1			
NPC1	1			
NPPA	1			
NR3C1	1			
NRCAM	1			
NRDC	1			
NRSN1	1			
NT5C	1			
NTRK1	1			
NUDT2	1			
NUFIP2	1			
NUMBL	1			
NUP188	1			
NUP205	1			
NUP85	1			
OCLN	1			
ODC1	1			
OIT3	1			
OPTN	1			
OTC	1			
OTOP2	1			
OTOP3	1			
OTP	1			
P2RX1	1			
P2RY6	1			
PAH	1			
PAPOLG	1			
PAQR9	1			
PARD3	1			
PATL1	1			
PAX7	1			
PC	1			
PCDH12	1			
PCDH15	1			
PCDHGA7	1			
PCLO	1			
PCNX3	1			
PCOLCE2	1			
PDE4DIP	1			
PDGFRA	1			
PDHX	1			
PDXK	1			
PEX1	1			
PGAM4	1			
PGAP2	1			
PHEX	1			
PHGDH	1			
PHLDA3	1			
PHLPP1	1			
PHYH	1			
PI16	1			
PI4KA	1			
PIBF1	1			
PIEZO1	1			
PIGA	1			
PIGC	1			
PIGH	1			
PIGN	1			
PIGP	1			
PIGT	1			
PIGU	1			
PIGX	1			
PIGZ	1			
PIK3C2A	1			
PIK3C2B	1			
PIK3C3	1			
PIK3CA	1			
PIK3R1	1			
PIK3R4	1			
PIP5K1B	1			
PITX1	1			
PITX2	1			
PLCG2	1			
PLCL2	1			
PLEKHM1	1			
PLG	1			
PLK2	1			
PLK3	1			
PLP1	1			
PLXNA3	1			
PLXND1	1			
PNISR	1			
PNPLA4	1			
POLR1A	1			
POLR1B	1			
POLR3D	1			
POLR3E	1			
POMC	1			
POU4F3	1			
PPFIA3	1			
PPP1CA	1			
PPP1R26	1			
PPP1R7	1			
PPP2R5D	1			
PRDM1	1			
PRELID2	1			
PREPL	1			
PREX2	1			
PRICKLE1	1			
PRKCB	1			
PRKG1	1			
PRKRA	1			
PROX1	1			
PRPH	1			
PRRC2C	1			
PRUNE1	1			
PRX	1			
PTH2R	1			
PTPN5	1			
PTPRA	1			
PTPRF	1			
PTPRZ1	1			
PUM2	1			
PXMP2	1			
PYCR1	1			
QDPR	1			
QRICH1	1			
RAB3GAP1	1			
RAC3	1			
RAD21	1			
RAD51	1			
RAI14	1			
RANBP2	1			
RAPSN	1			
RARS	1			
RARS2	1			
RASAL1	1			
RBM10	1			
RBM27	1			
RECQL5	1			
REEP1	1			
RERE	1			
RGL2	1			
RHOBTB3	1			
RHOT2	1			
RIT2	1			
RMND1	1			
RNF123	1			
RNF14	1			
ROBO1	1			
ROR2	1			
ROS1	1			
RP1L1	1			
RPL15	1			
RPL31	1			
RPL38	1			
RPS23	1			
RPS26	1			
RPS28	1			
RPS6KA3	1			
RRM2B	1			
RRP7A	1			
RTEL1	1			
RUNX1	1			
RYR2	1			
S1PR2	1			
SACS	1			
SAG	1			
SAMM50	1			
SAP30BP	1			
SBDS	1			
SCAF4	1			
SCN3A	1			
SCNN1B	1			
SDK2	1			
SEC14L5	1			
SEMA5B	1			
SEMA6A	1			
SEPHS1	1			
SEPSECS	1			
SESN2	1			
SETD2	1			
SETD5	1			
SGCE	1			
SGPL1	1			
SGSH	1			
SHANK3	1			
SHH	1			
SHKBP1	1			
SIN3A	1			
SIRPG	1			
SLC10A2	1			
SLC12A1	1			
SLC12A6	1			
SLC13A5	1			
SLC16A2	1			
SLC16A5	1			
SLC22A31	1			
SLC25A19	1			
SLC25A24	1			
SLC26A4	1			
SLC27A5	1			
SLC2A1	1			
SLC2A11	1			
SLC2A9	1			
SLC35A1	1			
SLC35A2	1			
SLC35B4	1			
SLC37A1	1			
SLC37A4	1			
SLC4A10	1			
SLC6A1	1			
SLC6A4	1			
SLIT1	1			
SLIT2	1			
SLITRK4	1			
SMAD2	1			
SMAD3	1			
SMAD4	1			
SMAD5	1			
SMC3	1			
SMCR8	1			
SMG6	1			
SMPD4	1			
SNAP25	1			
SNAPC1	1			
SND1	1			
SNORA36	1			
SNPH	1			
SON	1			
SORL1	1			
SOX17	1			
SOX2	1			
SOX4	1			
SOX9	1			
SP7	1			
SPAST	1			
SPATA3	1			
SPATS1	1			
SPINK1	1			
SPIRE2	1			
SPOP	1			
SPR	1			
SPRY4	1			
SPTA1	1			
SPTB	1			
SPTBN5	1			
SRD5A3	1			
SRGAP3	1			
SRRM2	1			
SRSF6	1			
SSR3	1			
SSR4	1			
STAG1	1			
STAMBP	1			
STAT1	1			
STXBP1	1			
SUMO2	1			
SURF2	1			
SYDE1	1			
SYNE2	1			
SYNJ2	1			
SYT4	1			
SYT7	1			
SYTL3	1			
SZT2	1			
TAB2	1			
TAF1	1			
TALDO1	1			
TAP2	1			
TBC1D24	1			
TBC1D32	1			
TBC1D8B	1			
TBC1D9	1			
TBR1	1			
TBRG1	1			
TBX3	1			
TBX6	1			
TCF3	1			
TCF7L1	1			
TCF7L2	1			
TCHH	1			
TCP10	1			
TCTEX1D2	1			
TCTN1	1			
TCTN3	1			
TET2	1			
TFE3	1			
TG	1			
TGFB2	1			
TGFBR2	1			
TGM1	1			
THBD	1			
THBS1	1			
THOC6	1			
THRAP3	1			
TIGD1	1			
TJP1	1			
TLE4	1			
TLN1	1			
TLR7	1			
TMCO2	1			
TMEM108	1			
TMEM138	1			
TMEM165	1			
TMEM218	1			
TMEM237	1			
TMEM35A	1			
TMEM38B	1			
TMEM39B	1			
TMEM8B	1			
TNFRSF13B	1			
TNFRSF6B	1			
TNFSF18	1			
TNPO2	1			
TNXB	1			
TOE1	1			
TP53BP1	1			
TPX2	1			
TRAF3IP1	1			
TRAPPC10	1			
TRAPPC9	1			
TRIM35	1			
TRIO	1			
TRIOBP	1			
TRIP12	1			
TRNT1	1			
TRPM1	1			
TRPM2	1			
TRPM6	1			
TRPV4	1			
TSC1	1			
TSEN54	1			
TSFM	1			
TSHZ3	1			
TSPAN32	1			
TSR2	1			
TTC3	1			
TTC39A	1			
TTC7A	1			
TTC7B	1			
TTI1	1			
TTL	1			
TTLL8	1			
TTLL9	1			
TUBB3	1			
TUBB6	1			
TUBG1	1			
TUBGCP2	1			
U2SURP	1			
UBA2	1			
UBA5	1			
UBE2A	1			
UBE2K	1			
UGT2A1	1			
UNC13B	1			
UPF1	1			
UPK2	1			
UQCC3	1			
UQCRH	1			
URB1	1			
USB1	1			
USH1G	1			
USP53	1			
USP9X	1			
UVRAG	1			
VCAM1	1			
VGLL2	1			
VIPR1	1			
VPS54	1			
WDR19	1			
WDR35	1			
WDR45	1			
WDR60	1			
WNK4	1			
XBP1P1	1			
XRN2	1			
YARS	1			
YIPF5	1			
YTHDF3	1			
YWHAE	1			
YWHAZ	1			
YY1AP1	1			
ZBTB47	1			
ZC3H11A	1			
ZC3H4	1			
ZCCHC11	1			
ZDHHC9	1	N	Explained, known phenotype	
ZFAND6	1			
ZFYVE1	1			
ZFYVE16	1			
ZGRF1	1			
ZIC1	1			
ZMYND8	1			
ZNF142	1			
ZNF227	1			
ZNF423	1			
ZNF451	1			
ZNF467	1			
ZNF469	1			
ZNF534	1			
ZNF562	1			
ZNF81	1			
ZNRF4	1			
ZSWIM6	1			
ZZEF1	1
